Brand Name	Mfg Code	Warranty Description	Warranty URL	Warranty Tel#	Warranty Months	Months for Parts	Comments
#Cube	48				12.0		Mfr Not Found
1010 Music	1010	1010 Music	SanDisk			12.0	
12 Survivors	12SURV		https://www.everest.com/12survivors		99.0	99.0	https://op1.0ps.us/pdf/opplanet-12-survivors-warranty-info-pdf.pdf
16x9	ERIG	16x9		6612953313	12.0	12.0	Some Product in Adorama which Have 2 Year Warranty
1A Tools	ARC						Not in Adorama Brand List
1More	1MORE	1More	https://usa.1more.com/pages/warranty	8555516673	12.0	12.0	
2Box	2BOX	2Box					Warranty Not Available on MFR
2nd Sense	2SENSE						Mfr Not Found
3 Legged Thing	3LT	3 Legged Thing	https://www.3leggedthing.com/row/faq		60.0	60.0	
3Dio	3DIO	3Dio	https://3diosound.com/pages/returns-warranty-policy		12.0	12.0	
3Doodler	3DOO	3Doodler	https://intl.the3doodler.com/pages/warranty	7186189904	12.0	12.0	
3M	RG	3M	https://www.3m.com/3M/en_US	8883643577			Warranty Not Applicable
3Pod	KINJU	3Pod		8008150702			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
4id	4ID	4id			12.0	12.0	Standard Warranty Kept
4xem	RG						Not in Adorama Brand List
5.11 Tactical	511T	5.11 Tactical	https://www.511tactical.com/customer-service/warranty	8664511726			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
7artisans	7ART	7artisans	https://7artisans.store/pages/warranty-program		12.0	12.0	
8Sinn	8SINN	8Sinn	https://www.8sinn.com/return-warranty-policy		12.0	12.0	
9.Solutions	9SOL	9.Solutions	https://us-9.solutions/warranty-and-returns	8779199349	12.0	12.0	
Able Cine	ARC	Able Cine	https://www.abelcine.com	8887004416	1.0	1.0	Check
Ableton	RG	Ableton	https://www.ableton.com/en/gtc		36.0	36.0	
AAdynTech	AADYNT	Sturdy Corp LED Lighting	https://www.sturdycorp.com/led-lighting	8007213282	24.0	24.0	
AAXA Technologies	RG	AAXA Technologies	https://www.aaxatech.com/store/service.htm	7149571999	12.0	12.0	Not in Adorama Brand List
ABS	ADORAMA						Not in Adorama Brand List
Accsoon	ACCSN	Accsoon	https://accsoonusa.com/accsoon-limited-warranty		12.0	12.0	
Accusys	ACUSY	Accusys RAID Systems	https://www.accusys.com		36.0	36.0	
	ACUSY	Accusys Accessories	https://www.accusys.com		12.0	12.0	
